,tiku,地域コード,地域,男,女,合計,最頻年齢,平均年齢,標準偏差
12765,0.0,458,研究学園４丁目,1142,1068,2210,41.5,32.0955,20.396037619271592
12880,0.0,459,研究学園５丁目,1169,1260,2429,46.5,37.5519,20.53267048930237
12995,0.0,460,研究学園６丁目,783,769,1552,49.5,36.6063,20.470614123723085
13110,0.0,461,研究学園７丁目,539,501,1040,45.5,32.3779,18.25728230224439
13225,0.0,462,研究学園７丁目３番地から１４番地まで,155,149,304,9.5,29.6513,19.492663892792294
13340,0.0,463,学園南１丁目,339,275,614,36.5,32.5147,18.883530735222973
13455,0.0,464,学園南２丁目,666,666,1332,1.5,33.0871,19.989766486574524
13570,0.0,465,学園南３丁目,1028,1000,2028,35.5,29.0187,18.345579843346986
13685,0.0,466,みどりの１丁目,1418,1360,2778,36.5,35.1609,19.98134996634078
13800,0.0,467,みどりの２丁目,1272,1136,2408,32.5,27.7392,16.148709606517006
13915,0.0,468,みどりの中央,1451,1385,2836,33.5,28.4277,18.486874289980825
14030,0.0,469,みどりの東,595,567,1162,29.5,29.0396,15.53643984304283
14145,0.0,470,みどりの南,1216,1120,2336,31.5,27.9092,18.91544315752289
0,1.0,500,桜１丁目,334,315,649,23.5,32.5724,19.574502939659297
115,1.0,501,桜２丁目,611,498,1109,23.5,39.3124,21.002275377606733
230,1.0,502,桜３丁目,259,269,528,19.5,37.6932,22.02762966513289
345,1.0,503,栗原１,437,419,856,66.5,49.8925,24.55334912891237
460,1.0,504,栗原２,363,333,696,48.5,49.5575,23.371121939965967
575,1.0,505,上野,101,82,183,68.5,55.0246,24.901295788290945
690,1.0,506,上境,101,109,210,70.5,54.4333,23.653960371805653
805,1.0,507,柴崎,297,265,562,48.5,44.1228,23.26376791565791
920,1.0,508,セントラルタウン,130,93,223,21.5,44.4686,21.92575939331299
1035,1.0,509,東岡,167,179,346,64.5,51.2052,23.72871304236571
1150,1.0,511,金田１,321,368,689,47.5,46.7075,24.039859279726294
